2,2000,-66.15897679638863
3,3000,-105.30875464630127
4,4000,-123.15647025299073
5,5000,-143.0753934249878
6,6000,-153.99573612213135
7,7000,-153.73679623413085
8,8000,-156.99156814575196
9,9000,-156.8768280181885
10,10000,-156.23534205627442
11,11000,-155.2566616821289
12,12000,-151.60307696533204
13,13000,-154.13164880371093
14,14000,-153.88555271911622
15,15000,-153.80889192199706
16,16000,-153.58428356933592
17,17000,-153.68450645446777
18,18000,-154.10417195129395
19,19000,-153.92554368591308
20,20000,-154.22133795166016
21,21000,-154.62568490600586
22,22000,-155.19876284790038
23,23000,-155.40411164855956
24,24000,-155.83270387268067
25,25000,-156.2507172088623
26,26000,-156.6120471191406
27,27000,-156.774581741333
28,28000,-156.87239259338378
29,29000,-157.11487173461913
30,30000,-157.5322352294922
31,31000,-157.76314280700683
32,32000,-158.29806993103028
33,33000,-158.63853086853027
34,34000,-158.86341011047364
35,35000,-158.5977033996582
36,36000,-158.80781929016112
37,37000,-158.79163243103028
38,38000,-159.15173937988283
39,39000,-159.1930338745117
40,40000,-159.09805624389648
41,41000,-159.31845977783203
42,42000,-159.28301725769043
43,43000,-159.53751094055175
44,44000,-159.6548466644287
45,45000,-160.17309622192383
46,46000,-160.36748765563965
47,47000,-160.46518923950197
48,48000,-160.6500524291992
49,49000,-161.24200871276855
50,50000,-161.55139225769042
